model,label,precision,recall,f1-score,support
logistic_regression,BARBUNYA,0.9516129032258065,0.8708487084870848,0.9094412331406551,271.0
logistic_regression,BOMBAY,0.990990990990991,0.990990990990991,0.990990990990991,111.0
logistic_regression,CALI,0.9471947194719472,0.8830769230769231,0.9140127388535032,325.0
logistic_regression,DERMASON,0.9387442572741195,0.8871201157742402,0.9122023809523809,691.0
logistic_regression,HOROZ,0.9689119170984456,0.9303482587064676,0.949238578680203,402.0
logistic_regression,SEKER,0.9607843137254902,0.937799043062201,0.9491525423728814,418.0
logistic_regression,SIRA,0.7643312101910829,0.9248554913294798,0.8369659982563208,519.0
logistic_regression,accuracy,0.9104859335038363,0.9104859335038363,0.9104859335038363,0.9104859335038363
logistic_regression,macro avg,0.9317957588539834,0.9178627902039125,0.9231434947495621,2737.0
logistic_regression,weighted avg,0.9178648134011673,0.9104859335038363,0.9121554928691771,2737.0
knn,BARBUNYA,0.9541984732824428,0.922509225092251,0.9380863039399625,271.0
knn,BOMBAY,1.0,1.0,1.0,111.0
knn,CALI,0.9244712990936556,0.9415384615384615,0.9329268292682927,325.0
knn,DERMASON,0.9175108538350217,0.9175108538350217,0.9175108538350217,691.0
knn,HOROZ,0.9671717171717171,0.9527363184079602,0.9598997493734336,402.0
knn,SEKER,0.9566265060240964,0.9497607655502392,0.9531812725090036,418.0
knn,SIRA,0.871939736346516,0.8921001926782274,0.8819047619047619,519.0
knn,accuracy,0.9294848374132262,0.9294848374132262,0.9294848374132262,0.9294848374132262
knn,macro avg,0.9417026551076358,0.9394508310145945,0.9405013958329251,2737.0
knn,weighted avg,0.9299417579283612,0.9294848374132262,0.9296458350257142,2737.0
linear_svm,BARBUNYA,0.952191235059761,0.8819188191881919,0.9157088122605364,271.0
linear_svm,BOMBAY,1.0,0.990990990990991,0.995475113122172,111.0
linear_svm,CALI,0.9475409836065574,0.8892307692307693,0.9174603174603174,325.0
linear_svm,DERMASON,0.9337349397590361,0.8972503617945007,0.915129151291513,691.0
linear_svm,HOROZ,0.9689922480620154,0.9328358208955224,0.9505703422053232,402.0
linear_svm,SEKER,0.9632352941176471,0.9401913875598086,0.9515738498789347,418.0
linear_svm,SIRA,0.7777777777777778,0.9171483622350675,0.8417329796640142,519.0
linear_svm,accuracy,0.9141395688710267,0.9141395688710267,0.9141395688710267,0.9141395688710267
linear_svm,macro avg,0.9347817826261134,0.9213666445564074,0.9268072236975444,2737.0
linear_svm,weighted avg,0.9199997775212254,0.9141395688710267,0.9155755336710864,2737.0
random_forest,BARBUNYA,0.9245283018867925,0.9040590405904059,0.914179104477612,271.0
random_forest,BOMBAY,1.0,1.0,1.0,111.0
random_forest,CALI,0.9283489096573209,0.916923076923077,0.9226006191950464,325.0
random_forest,DERMASON,0.9092198581560283,0.9276410998552822,0.9183381088825215,691.0
random_forest,HOROZ,0.9645569620253165,0.9477611940298507,0.9560853199498118,402.0
random_forest,SEKER,0.9358669833729216,0.9425837320574163,0.9392133492252682,418.0
random_forest,SIRA,0.8786127167630058,0.8786127167630058,0.8786127167630058,519.0
random_forest,accuracy,0.9229082937522836,0.9229082937522836,0.9229082937522836,0.9229082937522836
random_forest,macro avg,0.9344476759801978,0.9310829800312911,0.9327184597847522,2737.0
random_forest,weighted avg,0.923082128322917,0.9229082937522836,0.9229436793517106,2737.0
gaussian_nb,BARBUNYA,0.8897338403041825,0.8634686346863468,0.8764044943820225,271.0
gaussian_nb,BOMBAY,0.9823008849557522,1.0,0.9910714285714286,111.0
gaussian_nb,CALI,0.8746268656716418,0.9015384615384615,0.8878787878787879,325.0
gaussian_nb,DERMASON,0.9282442748091603,0.8798842257597684,0.9034175334323923,691.0
gaussian_nb,HOROZ,0.9526184538653366,0.9502487562189055,0.9514321295143213,402.0
gaussian_nb,SEKER,0.9270588235294117,0.9425837320574163,0.9347568208778173,418.0
gaussian_nb,SIRA,0.8422018348623853,0.884393063583815,0.8627819548872181,519.0
gaussian_nb,accuracy,0.9064669345999269,0.9064669345999269,0.9064669345999269,0.9064669345999269
gaussian_nb,macro avg,0.9138264254282671,0.9174452676921019,0.915391878506284,2737.0
gaussian_nb,weighted avg,0.9073400632706148,0.9064669345999269,0.9065855206392025,2737.0
