model,display_name,noise_type,strength,test_accuracy,baseline_test_accuracy,accuracy_drop
logistic_regression,Logistic Regression,gaussian,0.05,0.9123127511874315,0.9104859335038363,-0.001826817683595161
knn,KNN,gaussian,0.05,0.9261965655827549,0.9294848374132262,0.003288271830471312
linear_svm,Linear SVM,gaussian,0.05,0.9145049324077457,0.9141395688710267,-0.00036536353671901
random_forest,Random Forest,gaussian,0.05,0.9236390208257216,0.9229082937522836,-0.00073072707343802
gaussian_nb,Gaussian Naive Bayes,gaussian,0.05,0.9064669345999269,0.9064669345999269,0.0
logistic_regression,Logistic Regression,gaussian,0.1,0.8991596638655462,0.9104859335038363,0.011326269638290087
knn,KNN,gaussian,0.1,0.9199853854585313,0.9294848374132262,0.009499451954694926
linear_svm,Linear SVM,gaussian,0.1,0.9053708439897699,0.9141395688710267,0.008768724881256795
random_forest,Random Forest,gaussian,0.1,0.9269272926561929,0.9229082937522836,-0.004018998903909332
gaussian_nb,Gaussian Naive Bayes,gaussian,0.1,0.9057362075264889,0.9064669345999269,0.00073072707343802
logistic_regression,Logistic Regression,missing,0.05,0.907197661673365,0.9104859335038363,0.003288271830471312
knn,KNN,missing,0.05,0.9185239313116551,0.9294848374132262,0.010960906101571077
linear_svm,Linear SVM,missing,0.05,0.907563025210084,0.9141395688710267,0.006576543660942624
random_forest,Random Forest,missing,0.05,0.9243697478991597,0.9229082937522836,-0.001461454146876151
gaussian_nb,Gaussian Naive Bayes,missing,0.05,0.9064669345999269,0.9064669345999269,0.0
logistic_regression,Logistic Regression,missing,0.1,0.8881987577639752,0.9104859335038363,0.022287175739861165
knn,KNN,missing,0.1,0.9214468396054074,0.9294848374132262,0.008037997807818775
linear_svm,Linear SVM,missing,0.1,0.8830836682499087,0.9141395688710267,0.03105590062111796
random_forest,Random Forest,missing,0.1,0.9192546583850931,0.9229082937522836,0.003653635367190433
gaussian_nb,Gaussian Naive Bayes,missing,0.1,0.9013518450858604,0.9064669345999269,0.005115089514066473
logistic_regression,Logistic Regression,label_flip,0.05,0.9093898428936792,0.9104859335038363,0.001096090610157141
knn,KNN,label_flip,0.05,0.9261965655827549,0.9294848374132262,0.003288271830471312
linear_svm,Linear SVM,label_flip,0.05,0.9108512970405553,0.9141395688710267,0.003288271830471312
random_forest,Random Forest,label_flip,0.05,0.9196200219218122,0.9229082937522836,0.003288271830471312
gaussian_nb,Gaussian Naive Bayes,label_flip,0.05,0.9028132992327366,0.9064669345999269,0.003653635367190322
logistic_regression,Logistic Regression,label_flip,0.1,0.907197661673365,0.9104859335038363,0.003288271830471312
knn,KNN,label_flip,0.1,0.9254658385093167,0.9294848374132262,0.004018998903909443
linear_svm,Linear SVM,label_flip,0.1,0.9119473876507125,0.9141395688710267,0.002192181220314171
random_forest,Random Forest,label_flip,0.1,0.9221775666788454,0.9229082937522836,0.000730727073438131
gaussian_nb,Gaussian Naive Bayes,label_flip,0.1,0.8980635732553891,0.9064669345999269,0.008403361344537785
